study,system,model,condition,run,metric,unit,value
serving_reference,triton,BERT-base,concurrency=1,1,throughput,requests/s,131.081
serving_reference,triton,BERT-base,concurrency=1,1,mean_ms,ms,7.592
serving_reference,triton,BERT-base,concurrency=1,1,run_p50_ms,ms,7.647
serving_reference,triton,BERT-base,concurrency=1,1,run_p90_ms,ms,8.358
serving_reference,triton,BERT-base,concurrency=1,1,run_p99_ms,ms,9.22
serving_reference,triton,BERT-base,concurrency=1,2,throughput,requests/s,135.22
serving_reference,triton,BERT-base,concurrency=1,2,mean_ms,ms,7.366
serving_reference,triton,BERT-base,concurrency=1,2,run_p50_ms,ms,7.28
serving_reference,triton,BERT-base,concurrency=1,2,run_p90_ms,ms,7.995
serving_reference,triton,BERT-base,concurrency=1,2,run_p99_ms,ms,8.887
serving_reference,triton,BERT-base,concurrency=1,3,throughput,requests/s,143.693
serving_reference,triton,BERT-base,concurrency=1,3,mean_ms,ms,6.933
serving_reference,triton,BERT-base,concurrency=1,3,run_p50_ms,ms,6.6850000000000005
serving_reference,triton,BERT-base,concurrency=1,3,run_p90_ms,ms,7.9830000000000005
serving_reference,triton,BERT-base,concurrency=1,3,run_p99_ms,ms,9.162
serving_reference,triton,BERT-base,concurrency=1,4,throughput,requests/s,133.135
serving_reference,triton,BERT-base,concurrency=1,4,mean_ms,ms,7.487
serving_reference,triton,BERT-base,concurrency=1,4,run_p50_ms,ms,7.534
serving_reference,triton,BERT-base,concurrency=1,4,run_p90_ms,ms,7.941
serving_reference,triton,BERT-base,concurrency=1,4,run_p99_ms,ms,8.42
serving_reference,triton,BERT-base,concurrency=1,5,throughput,requests/s,144.761
serving_reference,triton,BERT-base,concurrency=1,5,mean_ms,ms,6.883
serving_reference,triton,BERT-base,concurrency=1,5,run_p50_ms,ms,6.883
serving_reference,triton,BERT-base,concurrency=1,5,run_p90_ms,ms,7.574
serving_reference,triton,BERT-base,concurrency=1,5,run_p99_ms,ms,8.177
serving_reference,triton,BERT-base,concurrency=2,1,throughput,requests/s,269.936
serving_reference,triton,BERT-base,concurrency=2,1,mean_ms,ms,7.381
serving_reference,triton,BERT-base,concurrency=2,1,run_p50_ms,ms,7.442
serving_reference,triton,BERT-base,concurrency=2,1,run_p90_ms,ms,8.061
serving_reference,triton,BERT-base,concurrency=2,1,run_p99_ms,ms,8.717
serving_reference,triton,BERT-base,concurrency=2,2,throughput,requests/s,256.935
serving_reference,triton,BERT-base,concurrency=2,2,mean_ms,ms,7.76
serving_reference,triton,BERT-base,concurrency=2,2,run_p50_ms,ms,7.697
serving_reference,triton,BERT-base,concurrency=2,2,run_p90_ms,ms,7.9830000000000005
serving_reference,triton,BERT-base,concurrency=2,2,run_p99_ms,ms,8.638
serving_reference,triton,BERT-base,concurrency=2,3,throughput,requests/s,252.91
serving_reference,triton,BERT-base,concurrency=2,3,mean_ms,ms,7.881
serving_reference,triton,BERT-base,concurrency=2,3,run_p50_ms,ms,7.862
serving_reference,triton,BERT-base,concurrency=2,3,run_p90_ms,ms,8.283
serving_reference,triton,BERT-base,concurrency=2,3,run_p99_ms,ms,8.657
serving_reference,triton,BERT-base,concurrency=2,4,throughput,requests/s,251.726
serving_reference,triton,BERT-base,concurrency=2,4,mean_ms,ms,7.919
serving_reference,triton,BERT-base,concurrency=2,4,run_p50_ms,ms,7.79
serving_reference,triton,BERT-base,concurrency=2,4,run_p90_ms,ms,8.945
serving_reference,triton,BERT-base,concurrency=2,4,run_p99_ms,ms,9.358
serving_reference,triton,BERT-base,concurrency=2,5,throughput,requests/s,261.107
serving_reference,triton,BERT-base,concurrency=2,5,mean_ms,ms,7.632
serving_reference,triton,BERT-base,concurrency=2,5,run_p50_ms,ms,7.671
serving_reference,triton,BERT-base,concurrency=2,5,run_p90_ms,ms,7.972
serving_reference,triton,BERT-base,concurrency=2,5,run_p99_ms,ms,8.31
serving_reference,triton,BERT-base,concurrency=4,1,throughput,requests/s,525.869
serving_reference,triton,BERT-base,concurrency=4,1,mean_ms,ms,7.585
serving_reference,triton,BERT-base,concurrency=4,1,run_p50_ms,ms,7.587
serving_reference,triton,BERT-base,concurrency=4,1,run_p90_ms,ms,7.945
serving_reference,triton,BERT-base,concurrency=4,1,run_p99_ms,ms,9.204
serving_reference,triton,BERT-base,concurrency=4,2,throughput,requests/s,536.585
serving_reference,triton,BERT-base,concurrency=4,2,mean_ms,ms,7.429
serving_reference,triton,BERT-base,concurrency=4,2,run_p50_ms,ms,7.437
serving_reference,triton,BERT-base,concurrency=4,2,run_p90_ms,ms,8.037
serving_reference,triton,BERT-base,concurrency=4,2,run_p99_ms,ms,10.039
serving_reference,triton,BERT-base,concurrency=4,3,throughput,requests/s,548.914
serving_reference,triton,BERT-base,concurrency=4,3,mean_ms,ms,7.262
serving_reference,triton,BERT-base,concurrency=4,3,run_p50_ms,ms,7.293
